cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
IL_1b;0.75;0.00;55.44;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;6.14;0.00;301.87;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;24.1;0.00;85.73;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;2.98;0.00;83.44;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;104.77;43.00;567.60;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;52.49;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;205.74;75.40;1538.00;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;3.12;1.94;12.31;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.86;0.00;8.81;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;7.56;3.66;53.56;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;8.71;0.00;139.90;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;1.28;0.00;24.97;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;3;0.00;19.62;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;22.92;10.85;43.26;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;2353;251.00;5396.00;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;5.77;0.00;31.48;7;healthy;19;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
