cytokine;unit;value.mean;value.sd;value.percentile.25;value.percentile.75;tissue;LLOD;LLOD.above.percent;ga.weeks.mean;ga.weeks.sd;ga.weeks.percentage.25;ga.weeks.percentage.75;ga.string;age.mean;age.sd;age.percentile.25;age.percentile.75;bmi.mean;bmi.sd;bmi.percentile.25;bmi.percentile.75;n.female;n;condition
IL_1b;pg/mL;0.32;0.62;0.03;0.39;serum;0.04;82.6;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IL_2;pg/mL;0.29;0.6;0.06;0.32;serum;0.09;36.1;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IFN_g;pg/mL;5.63;20.26;1.03;4.91;serum;0.2;84.4;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
TNF_a;pg/mL;7.26;7.55;3.64;8.89;serum;0.04;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IL_4;pg/mL;0.15;0.58;0.01;0.06;serum;0.02;35.5;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IL_5;pg/mL;1.36;2.22;0.4;1.5;serum;0.22;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IL_10;pg/mL;1.59;7.85;0.27;1.7;serum;0.03;90.6;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
IL_6;pg/mL;0.96;1.44;0.23;1.12;serum;0.06;88.7;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
MCP_1;pg/mL;76.06;94.02;43.64;87.46;serum;0.09;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
TARC;pg/mL;99.39;124.16;47.56;121.88;serum;0.22;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
sFlt1;pg/mL;2160.19;1786.59;1221.93;2589.82;serum;0.56;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
VEGF_D;pg/mL;743.88;374.52;492.37;913.98;serum;2.53;100;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
CRP;mg/L;3.52;2.7;1.38;4.84;serum;1;98.9;27.89;1.14;27.43;28.43;Second trimester;27.17;6.27;22.19;31.48;26.99;6.55;21.83;31.04;548;1158;normal
