cytokine;value.median;value.percentile.25;value.percentile.75;unit;n;ga.string;ga.weeks.median;ga.weeks.percentile.25;ga.weeks.percentile.75;condition;method;bmi.median;bmi.percentile.25;bmi.percentile.75;age.mean;age.sd;tissue;systolic.median;systolic.percentile.25;systolic.percentile.75;diastolic.median;diastolic.percentile.25;diastolic.percentile.75;birthweight.mean;birthweight.sd
IL_1b;2.81;2.66;3.27;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_1ra;210;189;264;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_2;18.6;15.9;24.3;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_4;5.22;4.68;6.15;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_5;2.89;2.67;3.86;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_6;9.88;7.68;11.09;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_7;17.4;15.3;23.1;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_8;19.3;17.5;23.3;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_9;30.7;22.8;36.3;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_10;4.89;3.8;5.94;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_12p70;38.6;24.7;46.1;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_13;6.87;4.85;8.57;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_15;7.87;6.84;10.5;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IL_17;111.1;89.6;162.5;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
eotaxin;188;137;207;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
bFGF;124;111;143;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
G_CSF;89;78.6;114.8;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
GM_CSF;93.5;83.5;115.2;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IFN_g;475;400;532;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
IP_10;987;775;1442;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
MCP_1;15.9;12.2;20.9;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
MIP_1a;4.8;4.24;6.28;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
MIP_1b;98;80.3;114.2;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
TNF_a;65.3;58.8;80.51;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
VEGF_A;38;31.7;51.7;pg/mL;19;Gestational Weeks 11+0-13+6;13;13;13;gestational hypertension;Bio-Plex Pro Human Cytokine 27-plex assay;27;23;31;25.9;3.9;serum;118;115;128;80;74;84;3408;654
