cytokine;value.mean;value.median;value.percentile.0;value.percentile.100;unit;ga.string;ga.weeks.mean;ga.weeks.sd;ga.weeks.percentile.0;ga.weeks.percentile.100;n;condition;condition.def;method;age.median;age.iqr;bmi.median;bmi.iqr;n.female;tissue
RANTES;47.4;44;18.3;160;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_4r;338.9;235;4;4000;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
MIF;23.5;17;0.1;100;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
MIP;336.4;193;10;7792;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_R1;0.78;0.51;0.08;27.4;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_a;48.5;4;4;754;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_6;190.1;63;4;4000;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_4;67.1;21;4;2063;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_5;15.3;12;4;78;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_12;18.6;4;4;1218;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_1a;4.4;4;4;29;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_1b;21;9;4;1489;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_8;201.7;21.5;4;4000;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_10;83.7;40;4;801;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IFN_g;36.3;4;4;4000;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TGF_b;804;604;39;5501;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_b;66.4;10;10;2364;pg/mL;First trimester;10.7;1.9;5;13;178;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
RANTES;52.4;45.9;26;160;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_4r;507.2;247;4;4000;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
MIF;21.8;16.3;0.1;100;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
MIP;234.8;195.5;10;1343;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_R1;0.6;0.5;0.1;2.5;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_a;40.2;4;4;467;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_6;413.5;88.5;4;4000;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_4;72.7;25;4;1064;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_5;15.6;13.5;4;65;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_12;55.9;8.5;4;1508;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_1a;4;4;4;4;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_1b;15.1;10;4;98;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_8;180.8;13;4;1458;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
